Movie
Indiana Jones: Raiders of the Lost Ark
HP: Deathly Hallows Pt 1
POTC: At World's End
Avatar
The Lion King
Monsters Inc
Mulan
Aladdin
Dumb and Dumber
Beauty and the Beast (Live Action)
ET
Ex Machina
8 Mile
Shawshank Redemption
The Room
Shooter
Jumanji
Star Wars: The Last Jedi
The Killing of a Sacred Deer
Fargo
Spiderman: Homecoming
Hellboy
Baby Driver
The Virgin Suicides
Shutter Island
Knives Out
Pan's Labyrinth
Ford v Ferrari
Behind Enemy Lines
The Internship
Once Upon a Time in Hollywood
Jojo Rabbit
